,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stracc,f1_strdef,f1_subavg,f1_tdacc,f1_tdavg,f1_tddef,f1_weight,f1_dob,f1_wins,f1_losses,f1_cumtime,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stracc,f2_strdef,f2_subavg,f2_tdacc,f2_tdavg,f2_tddef,f2_weight,f2_dob,f2_wins,f2_losses,f2_cumtime
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,185.42,188.13411829017005,0.53,1.18,0.0,0.36,0.7,3.2,1.0,1.6,0.33,104.42,44.0,2.0,2.0,739.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,193.04,195.58,3.22,4.89,0.0,0.48,0.55,0.1,0.62,0.41,0.8,108.052,33.0,12.0,3.0,3093.0
0,177.8,182.88,2.74,3.08,0.0,0.44,0.52,0.3,0.55,0.65,0.67,120.31,43.0,12.0,10.0,4280.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,193.04,195.58,2.76,4.5,0.0,0.51,0.54,0.9,0.62,1.55,0.5,93.07000000000001,37.0,5.0,5.0,1785.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,198.12,197.05106592832524,1.7,2.75,0.0,0.41,0.65,0.9,0.72,2.32,0.66,115.77000000000001,36.0,6.0,3.0,1902.0
0,187.96,193.04,2.94,2.12,0.0,0.45,0.57,1.1,0.39,2.8,0.66,109.86800000000001,38.0,12.0,11.0,3886.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,198.12,197.05106592832524,3.05,2.15,0.0,0.52,0.52,0.0,0.55,1.73,0.43,114.86200000000001,42.0,0.0,3.0,799.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,193.04,203.2,3.26,5.03,0.0,0.5,0.62,0.0,0.35,2.14,0.72,108.96000000000001,35.0,10.0,2.0,2357.0
0,190.5,193.04,2.81,3.03,0.0,0.56,0.52,0.2,0.53,0.7,0.59,104.42,40.0,10.0,7.0,3367.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,187.96,193.04,2.94,2.12,0.0,0.45,0.57,1.1,0.39,2.8,0.66,109.86800000000001,38.0,12.0,11.0,3886.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
